Tweet Id,User,Tweet
1565851184677765120,IronMan66056761,eha_medya şimdi teknofest ve selçuk damat yandı
1565850056502099968,eha_medya,"cumhurbaşkanı erdoğan:

millî teknoloji hamlemizin lokomotifi yeni ufuklara açılmanın geleceği tasarlamanın en yeni teknolojilerin festivali
yarın ben de gençlerimizle birlikte teknofest samsun’da olacağım… "
1565849074686992386,ulaknews,dünya bülteni: teknofest'te yeni hedef endonezya ve pakistan   sondakika haber sondakikahaber haberler
1565848919787061253,meg_1776,bu tarz isimlerlede türkçümilliyetçi gençlere mastürbasyon yapıyorlar e  tabikide bu enayiler yutuyor 
1565845486078251009,EErtnaz,kubrapc siyasete girmeyi düşünüyor musunuz diye sormayı unutmuş bu iş adamı iktidar giderse işlerinin bozulacağını söyledi kılıçdaroğlu'nun teknofest ziyaretini samimiyetsiz buldu siyasetin ta içinde zaten daha ne kadar girecek?
1565844507601604608,AkifSoguk,teknofest 
1565843837775450114,gnlckrout,"cumhurbaşkanı erdoğan: yarın ben de gençlerimizle birlikte teknofest samsun'da olacağım
bahçeli: milletimizin şikayet ve yakınmasına rağmen festival düzenlenemez"
1565843272467382274,SertacBulur,cumhurbaşkanı erdoğan bugün teknofest samsun'da olacağını açıkladı  
1565843084759515138,nurevsanguler,"uzunabdurrahman hocam oradayken hazır yarın ankara'da nişan curcunası da varken kimse hissetmeden samsun'a kaçma fikri çık aklımdan 

teknofest "
1565843016191037441,TOLGA68567727,"hidrojen bataryayla elektrikli araçlar 5 dk’lık şarjla 600km yol katedebilecek

teknofest'te hydroborpem firması lityum bataryadan 6 kat daha dayanıklı hidrojen bataryası sergiliyor lityum bataryaların ömrü 5 yıl iken bunlarda 14 yıl "
1565842882149376000,Murat87276022,teknofest 
1565839798694182913,GlendamAltunka1,rterdogan maşâallah teknofest en büyük gururumuz
1565838822486806531,ybuankara,"öğrencilerimiz tarafından yapılan elektrikli aracımız ""tulpar"" ve otonom aracımız ""venom"" teknofest 2022 karadeniz'de yarıştı

sabah_tv sabah teknofest tubitak "
1565838536166744064,Deniiiizzz00,teknofest allah akıl fikir versin
1565837238340124673,ismailmine4448,baykartech baykartech marmari̇sten selamünaleyküm!!! si̇zden 1 ri̇cada bulunmak i̇sti̇yorum eğer i̇mkân dahi̇li̇nde i̇se si̇zden 1 adet teknofest montu i̇sti̇yorum bunu yüzsüzlük olarak görmeyi̇n lütfen ne zamandir i̇sti̇yorum ama edi̇nemedi̇m 1 tane allah razi olsun yollayamasanizda 
1565837088041439232,elohypatia,tcnufus teknofest merhaba 2908 tarihinde yeşil pasaport başvurumu bitirdim ama halen basım öncesi kontrolde gözüküyor  11 eylül'de uçuşum var ve öğrenciyim çok zor durumdayım lütfen yardım edin aramadığım yer iletmediğim bilet kalmadı tcnufusdestek  sefikaygol
1565837048220614660,elohypatia,tc_icisleri tcnufus teknofest merhaba 2908 tarihinde yeşil pasaport başvurumu bitirdim ama halen basım öncesi kontrolde gözüküyor  11 eylül'de uçuşum var ve öğrenciyim çok zor durumdayım lütfen yardım edin aramadığım yer iletmediğim bilet kalmadı tcnufusdestek  sefikaygol
1565837036141117440,snnyldzTR,"cumhurbaşkanı erdoğan:
[kılıçdaroğlu’nun teknofest ziyareti] 

""bay kemal kendi partisine bile hakim değil tb2 tb3’ün ne olduğunu soruyor haberi yok"" "
1565836985834536961,snnyldz41,"cumhurbaşkanı erdoğan:
[kılıçdaroğlu’nun teknofest ziyareti] 

bay kemal kendi partisine bile hakim değil tb2 tb3’ün ne olduğunu soruyor haberi yok "
1565835973296111616,ihsanKoca44,"teşkilâtımızın değerli üyeleriyle birlikte teknoloji festivali teknofest için gençlerimizi samsun'a uğurladık

milliteknolojihamlesi "
1565835044324884483,haberortakoy,başkan erdoğan’dan teknofest paylaşımı 
1565834970169581568,Murat87276022,teknofest 
1565834742498476032,aniIsahin,huseyingunay_ çok teşekkür ederim maalesef bu yıl teknofest ile aramıza yurt dışı savunma fuarları girdi 
1565832871146921986,SAslan4147,chpgenclikgm yakıp yıkan yakan maşa gezi gençliğimi yoksa bugün samsunda teknofest'te birikim ve buluşlarıyla yarışan gençlikmi ?
1565832464953757701,ulaknews,son haberler: 360 derece uçuş simülatörü teknofest'te   sondakika haber sondakikahaber haberler
1565831346320195587,cover_up8d,"    msb tuaf 
  "
1565831023740559360,cover_up8d,    msb tuaf  
1565830916429287426,Menocchio7,justinyen07 ucbuzluviski teknofest siyasal islamı bu justinyen gundisine en baştan anlatmak lazım gerçi biliyordur da böylelerinin tıyneti her zaman salağa yatmaktan yana olur
1565830742126612487,turkuazgazetes1,"anadolu ajansı  teknofest karadeniz temsilcimiz ayvaz’ı haber yaptı


ibuajanda teknofest"
1565830582269100032,Onur80172565,"biryorumbirment makinavinc justinyen07 hauntedflames kriptoep ucbuzluviski teknofest bu teknofest ortamında veya bir başka ortamda mesela bir fabrikada gayrimüslim kişiler de olabilir
ortamdaki müslüman şahıslar yaptıkları ibadeti belirterek soyut veya somut avantaj elde edebilirler mi? sempati kazanmak mesela? milyonda bir de olsa böyle bir ihtimal var mı?"
1565830373510156288,ibrhmtrm,"ataisik_ i̇ha
si̇ha
akinci
altay 
ki̇pri̇
atak
hürkuş
togg
teknofest
uzay ajansi 
say ki say daha çok var"
1565829854125297667,turkuazgazetes1,"tübi̇tak başkanı prof dr hasan mandal teknofest’te bai̇bü ekibini ziyaret etti


ibuajanda teknofest"
1565829809091284993,samsunhm,samkon ve asi̇yad teknofest karadeniz etkinliklerine katıldı 
1565829381485912067,Onur80172565,"biryorumbirment makinavinc justinyen07 hauntedflames kriptoep ucbuzluviski teknofest yani kısaca ibadet ettiğini göz önüne getirmek çok riskli
dünyevî bir menfaatin varsa çok büyük günah
böyle bir riske girmenin anlamı yok"
1565828061098119168,Abdulla70647934,teknofest hayırlı cumalar
